F 3499
I 8 6810 0.34
T 1fe000
I 30 fffc 0.45
I 9 fffc 0.45
I 11 0008 0.53
I 21 0010 0.53
I 11 002c 1.32
I 21 0008 1.33
S 100000 2000 7f0001
I 8 f010 1.33
R 1 0000 ffff
R 1 0000 ffff
R 15 0030 ffff
R 12 0100 ffff
R 13 01fd ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0172 ffff
R 2 826a ffff
R 3 0421 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0173 ffff
R 2 a052 ffff
R 3 0421 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0174 ffff
R 2 be3a ffff
R 3 0421 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0175 ffff
R 2 dc22 ffff
R 3 0421 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0176 ffff
R 2 fa0a ffff
R 3 0421 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0177 ffff
R 2 17f2 ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0178 ffff
R 2 35da ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0179 ffff
R 2 53c2 ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 017a ffff
R 2 71aa ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 017b ffff
R 2 8f92 ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 017c ffff
R 2 ad7a ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 017d ffff
R 2 cb62 ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 017e ffff
R 2 e94a ffff
R 3 0422 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 017f ffff
R 2 0732 ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0180 ffff
R 2 251a ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0181 ffff
R 2 4302 ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0182 ffff
R 2 60ea ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0183 ffff
R 2 7ed2 ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0184 ffff
R 2 9cba ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0185 ffff
R 2 baa2 ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0186 ffff
R 2 d88a ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0187 ffff
R 2 f672 ffff
R 3 0423 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0188 ffff
R 2 145a ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0189 ffff
R 2 3242 ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 018a ffff
R 2 502a ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 018b ffff
R 2 6e12 ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 018c ffff
R 2 8bfa ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 018d ffff
R 2 a9e2 ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 018e ffff
R 2 c7ca ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 018f ffff
R 2 e5b2 ffff
R 3 0424 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0190 ffff
R 2 039a ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0191 ffff
R 2 2182 ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0192 ffff
R 2 3f6a ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0193 ffff
R 2 5d52 ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0194 ffff
R 2 7b3a ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0195 ffff
R 2 9922 ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0196 ffff
R 2 b70a ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0197 ffff
R 2 d4f2 ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0198 ffff
R 2 f2da ffff
R 3 0425 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 0199 ffff
R 2 10c2 ffff
R 3 0426 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 019a ffff
R 2 2eaa ffff
R 3 0426 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 019b ffff
R 2 4c92 ffff
R 3 0426 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 019c ffff
R 2 6a7a ffff
R 3 0426 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 019d ffff
R 2 8862 ffff
R 3 0426 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 019e ffff
R 2 a64a ffff
R 3 0426 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 019f ffff
R 2 c432 ffff
R 3 0426 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0202 ffff
R 9 0000 ffff
R 6 0190 ffff
R 7 0001 ffff
R 4 0038 ffff
R 5 01a0 ffff
R 2 e21a ffff
R 3 0426 ffff
