F 2499
I 8 6810 274.34
T 1fe000
I 30 effc 274.45
I 9 effc 274.46
I 11 0008 274.53
I 21 0010 274.53
I 11 002c 275.32
I 21 0008 275.33
S 0 2000 7f0001
I 8 f010 275.34
R 1 0000 ffff
R 1 0000 ffff
R 15 0030 ffff
R 12 0000 ffff
R 13 00fd ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 0164 ffff
R 5 0006 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 014f ffff
R 5 0006 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 00f4 ffff
R 5 0006 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 0099 ffff
R 5 0006 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 003e ffff
R 5 0006 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 0164 ffff
R 5 0080 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 014f ffff
R 5 0080 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 00f4 ffff
R 5 0080 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 0099 ffff
R 5 0080 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0101 ffff
R 9 0000 ffff
R 6 0060 ffff
R 7 007a ffff
R 4 003e ffff
R 5 0080 ffff
R 2 704f ffff
R 3 054b ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0034 ffff
R 7 000b ffff
R 4 0190 ffff
R 5 000f ffff
R 2 8677 ffff
R 3 0554 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 009c ffff
R 7 000b ffff
R 4 00ff ffff
R 5 000f ffff
R 2 ee87 ffff
R 3 0553 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0098 ffff
R 7 000b ffff
R 4 0069 ffff
R 5 000f ffff
R 2 9bef ffff
R 3 0553 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 0034 ffff
R 7 000b ffff
R 4 0041 ffff
R 5 000f ffff
R 2 4e9f ffff
R 3 0551 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0008 ffff
R 7 0047 ffff
R 4 00f5 ffff
R 5 007d ffff
R 2 d237 ffff
R 3 0553 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0008 ffff
R 7 0047 ffff
R 4 01b7 ffff
R 5 007e ffff
R 2 d237 ffff
R 3 0553 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0008 ffff
R 7 0047 ffff
R 4 01b8 ffff
R 5 0083 ffff
R 2 d237 ffff
R 3 0553 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 00bc ffff
R 7 0009 ffff
R 4 0043 ffff
R 5 00c1 ffff
R 2 bad7 ffff
R 3 0551 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0004 ffff
R 7 000b ffff
R 4 015d ffff
R 5 00eb ffff
R 2 c3df ffff
R 3 0553 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0303 ffff
R 9 0000 ffff
R 6 0004 ffff
R 7 000b ffff
R 4 009a ffff
R 5 00eb ffff
R 2 c3df ffff
R 3 0553 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0000 ffff
R 9 0000 ffff
R 6 000c ffff
R 7 007c ffff
R 4 0037 ffff
R 5 0005 ffff
R 2 2bbf ffff
R 3 0551 ffff
R 0 0000 ffff
R 1 e002 ffff
R 10 0100 ffff
R 11 0100 ffff
R 8 0505 ffff
R 9 0000 ffff
